"tax_id","species_id","parent_tax_id","rank","name"
"1553013",7,"433071","species","Abdera triguttata"
"33342",,"33340","cohort","Paraneoptera"
"7524",,"33342","order","Hemiptera"
"33373",,"7524","suborder","Sternorrhyncha"
"33381",,"33373","superfamily","Coccoidea"
"30080",,"33381","family","Diaspididae"
"672812",,"30080","genus","Abgrallaspis"
"665241",8,"672812","species","Abgrallaspis cyanophylli"
"7399",,"33392","order","Hymenoptera"
"85772",,"7399","superfamily","Tenthredinoidea"
"85775",,"85772","family","Cimbicidae"
"222785",,"85775","genus","Abia"
"1384715",9,"222785","species","Abia aenea"
"362089",10,"222785","species","Abia candens"
"1141323",11,"222785","species","Abia fasciata"
"410269",12,"222785","species","Abia lonicerae"
"410258",13,"222785","species","Abia sericea"
"6073",,"6072","phylum","Cnidaria"
"6074",,"6073","class","Hydrozoa"
"37516",,"6074","subclass","Hydroidolina"
"500008",,"37516","order","Leptothecata"
"86619",,"500008","family","Sertulariidae"
"308598",,"86619","genus","Abietinaria"
"308599",14,"308598","species","Abietinaria abietina"
"308600",15,"308598","species","Abietinaria filicula"
"7147",,"33392","order","Diptera"
"7148",,"7147","suborder","Nematocera"
"43786",,"7148","infraorder","Culicomorpha"
"41828",,"43786","superfamily","Chironomoidea"
"7149",,"41828","family","Chironomidae"
"43810",,"7149","subfamily","Tanypodinae"
"55261",,"43810","tribe","Pentaneurini"
"46216",,"55261","genus","Ablabesmyia"
"1124591",16,"46216","species","Ablabesmyia longistyla"
"700369",17,"46216","species","Ablabesmyia monilis"
"41085",,"41084","infraorder","Staphyliniformia"
"75543",,"41085","superfamily","Staphylinoidea"
"57514",,"75543","family","Silphidae"
"82881",,"57514","subfamily","Silphinae"
"414959",,"82881","genus","Ablattaria"
"878967",19,"414959","species","Ablattaria laevigata"
"6657",,"197562","subphylum","Crustacea"
"2172821",,"6657","superclass","Multicrustacea"
"6681",,"2172821","class","Malacostraca"
"72041",,"6681","subclass","Eumalacostraca"
"6820",,"72041","superorder","Peracarida"
"6821",,"6820","order","Amphipoda"
"1732196",,"6821","suborder","Senticaudata"
"1732205",,"1732196","infraorder","Hadziida"
"936400",,"1732205","superfamily","Hadzioidea"
"190426",,"936400","family","Melitidae"
"1920390",,"190426","genus","Abludomelita"
"1920391",25,"1920390","species","Abludomelita obtusata"
"2697495",,"33317","clade","Spiralia"
"1206795",,"2697495","clade","Lophotrochozoa"
"6447",,"1206795","phylum","Mollusca"
"6544",,"6447","class","Bivalvia"
"2785011",,"6544","subclass","Autobranchia"
"6599",,"2785011","clade","Heteroconchia"
"735337",,"6599","infraclass","Euheterodonta"
"2785015",,"735337","superorder","Imparidentia"
"2783445",,"2785015","order","Cardiida"
"98297",,"2783445","superfamily","Tellinoidea"
"121179",,"98297","family","Semelidae"
"121180",,"121179","genus","Abra"
"399303",26,"121180","species","Abra alba"
"358434",27,"121180","species","Abra nitida"
"183592",28,"121180","species","Abra prismatica"
"2590760",29,"121180","species","Abra tenuis"
"154140",,"41085","superfamily","Histeroidea"
"110043",,"154140","family","Histeridae"
"154152",,"110043","subfamily","Abraeinae"
"154162",,"154152","tribe","Abraeini"
"154163",,"154162","genus","Abraeus"
"1586936",31,"154163","species","Abraeus granulum"
"1586937",32,"154163","species","Abraeus parvulus"
"1553014",33,"154163","species","Abraeus perpusillus"
"33511",,"33213","clade","Deuterostomia"
"7711",,"33511","phylum","Chordata"
"89593",,"7711","subphylum","Craniata"
"7742",,"89593","clade","Vertebrata"
"7776",,"7742","clade","Gnathostomata"
"117570",,"7776","clade","Teleostomi"
"117571",,"117570","clade","Euteleostomi"
"7898",,"117571","superclass","Actinopterygii"
"186623",,"7898","class","Actinopteri"
"41665",,"186623","subclass","Neopterygii"
"32443",,"41665","infraclass","Teleostei"
"1489341",,"32443","clade","Osteoglossocephalai"
"186625",,"1489341","no rank","Clupeocephala"
"186634",,"186625","cohort","Otomorpha"
"32519",,"186634","subcohort","Ostariophysi"
"186626",,"32519","clade","Otophysi"
"186627",,"186626","superorder","Cypriniphysae"
"7952",,"186627","order","Cypriniformes"
"30727",,"7952","suborder","Cyprinoidei"
"2743726",,"30727","family","Leuciscidae"
"2743728",,"2743726","subfamily","Leuciscinae"
"38526",,"2743728","genus","Abramis"
"38527",34,"38526","species","Abramis brama"
"85604",,"33392","superorder","Amphiesmenoptera"
"7088",,"85604","order","Lepidoptera"
"41191",,"7088","suborder","Glossata"
"41196",,"41191","infraorder","Neolepidoptera"
"41197",,"41196","parvorder","Heteroneura"
"37567",,"41197","clade","Ditrysia"
"104431",,"37567","clade","Obtectomera"
"82592",,"104431","superfamily","Geometroidea"
"82593",,"82592","family","Geometridae"
"82596",,"82593","subfamily","Ennominae"
"393334",,"82596","genus","Abraxas"
"190335",37,"393334","species","Abraxas sylvata"
"37570",,"104431","superfamily","Noctuoidea"
"7100",,"37570","family","Noctuidae"
"95186",,"7100","subfamily","Plusiinae"
"254364",,"95186","genus","Abrostola"
"938171",38,"254364","species","Abrostola tripartita"
"254365",39,"254364","species","Abrostola triplasia"
"7400",,"7399","suborder","Apocrita"
"1955251",,"7400","infraorder","Parasitoida"
"7401",,"1955251","superfamily","Ichneumonoidea"
"7408",,"7401","family","Ichneumonidae"
"65162",,"7408","subfamily","Ctenopelmatinae"
"231872",,"65162","tribe","Perilissini"
"65262",,"231872","genus","Absyrtus"
"501162",41,"65262","species","Absyrtus vicinator"
"65178",,"7408","subfamily","Acaenitinae"
"524788",,"65178","genus","Acaenitus"
"2801455",44,"524788","species","Acaenitus dubitator"
"6933",,"6854","subclass","Acari"
"6946",,"6933","superorder","Acariformes"
"83136",,"6946","order","Trombidiformes"
"6947",,"83136","suborder","Prostigmata"
"83139",,"6947","clade","Eupodina"
"70332",,"83139","superfamily","Eriophyoidea"
"70320",,"70332","family","Eriophyidae"
"426503",,"70320","subfamily","Eriophyinae"
"426509",,"426503","tribe","Aceriini"
"1452645",,"426509","genus","Acalitus"
"1452646",51,"1452645","species","Acalitus rudis"
"71529",,"41088","superfamily","Curculionoidea"
"7042",,"71529","family","Curculionidae"
"190812",,"7042","subfamily","Cryptorhynchinae"
"201732",,"190812","genus","Acalles"
"201733",53,"201732","species","Acalles dubius"
"501595",54,"201732","species","Acalles fallax"
"501598",55,"201732","species","Acalles lemur"
"346680",56,"201732","species","Acalles misellus"
"501602",57,"201732","species","Acalles parvulus"
"298154",58,"201732","species","Acalles ptinoides"
"33343",,"7524","clade","Prosorrhyncha"
"33345",,"33343","suborder","Heteroptera"
"33347",,"33345","clade","Euheteroptera"
"33349",,"33347","clade","Neoheteroptera"
"33351",,"33349","clade","Panheteroptera"
"33354",,"33351","infraorder","Cimicomorpha"
"2053429",,"33354","superfamily","Tingoidea"
"236450",,"2053429","family","Tingidae"
"1400081",,"236450","genus","Acalypta"
"1545065",60,"1400081","species","Acalypta carinata"
"1545066",61,"1400081","species","Acalypta gracilis"
"1545067",62,"1400081","species","Acalypta marginata"
"1545068",63,"1400081","species","Acalypta musci"
"1545069",64,"1400081","species","Acalypta nigrina"
"1400082",65,"1400081","species","Acalypta parvula"
"39816",,"7042","subfamily","Curculioninae"
"877970",,"39816","tribe","Acalyptini"
"877845",,"877970","genus","Acalyptus"
"877846",67,"877845","species","Acalyptus carpini"
"7402",,"7401","family","Braconidae"
"65185",,"7402","subfamily","Sigalphinae"
"55935",,"65185","genus","Acampsis"
"55936",68,"55935","species","Acampsis alternipes"
"43808",,"7149","subfamily","Orthocladiinae"
"611334",,"43808","genus","Acamptocladius"
"2578426",69,"611334","species","Acamptocladius submontanus"
"6448",,"6447","class","Gastropoda"
"216305",,"6448","subclass","Heterobranchia"
"216307",,"216305","clade","Euthyneura"
"977775",,"216307","clade","Panpulmonata"
"120490",,"977775","superorder","Eupulmonata"
"6527",,"120490","order","Stylommatophora"
"216365",,"6527","clade","Orthurethra"
"216448",,"216365","family","Valloniidae"
"229286",,"216448","genus","Acanthinula"
"229287",71,"229286","species","Acanthinula aculeata"
"7203",,"7147","suborder","Brachycera"
"43733",,"7203","infraorder","Muscomorpha"
"480118",,"43733","clade","Eremoneura"
"480117",,"480118","clade","Cyclorrhapha"
"43738",,"480117","no rank","Schizophora"
"43741",,"43738","no rank","Acalyptratae"
"43752",,"43741","superfamily","Tephritoidea"
"7211",,"43752","family","Tephritidae"
"43866",,"7211","subfamily","Tephritinae"
"43882",,"43866","tribe","Tephritini"
"164879",,"43882","no rank","Tephritis genus group"
"474829",,"164879","genus","Acanthiophilus"
"594011",72,"474829","species","Acanthiophilus helianthi"
"8287",,"117571","superclass","Sarcopterygii"
"1338369",,"8287","clade","Dipnotetrapodomorpha"
"32523",,"1338369","clade","Tetrapoda"
"32524",,"32523","clade","Amniota"
"8457",,"32524","clade","Sauropsida"
"32561",,"8457","clade","Sauria"
"1329799",,"32561","clade","Archelosauria"
"8492",,"1329799","clade","Archosauria"
"436486",,"8492","clade","Dinosauria"
"436489",,"436486","clade","Saurischia"
"436491",,"436489","clade","Theropoda"
"436492",,"436491","clade","Coelurosauria"
"8782",,"436492","class","Aves"
"8825",,"8782","infraclass","Neognathae"
"9126",,"8825","order","Passeriformes"
"175121",,"9126","superfamily","Passeroidea"
"9133",,"175121","family","Fringillidae"
"37599",,"9133","subfamily","Carduelinae"
"37604",,"37599","genus","Acanthis"
"1603565",73,"37604","species","Acanthis cabaret"
"54769",74,"37604","species","Acanthis flammea"
"90719",75,"37604","species","Acanthis hornemanni"
"105710",,"2783445","superfamily","Cardioidea"
"55708",,"105710","family","Cardiidae"
"2787991",,"55708","subfamily","Lymnocardiinae"
"241153",,"2787991","genus","Acanthocardia"
"1699427",76,"241153","species","Acanthocardia aculeata"
"241154",77,"241153","species","Acanthocardia echinata"
"1699428",78,"241153","species","Acanthocardia paucicostata"
"385555",79,"241153","species","Acanthocardia tuberculata"
"10232",,"1206795","phylum","Acanthocephala"
"45080",,"10232","class","Palaeacanthocephala"
"2705894",,"45080","order","Echinorhynchida"
"57284",,"2705894","family","Echinorhynchidae"
"185725",,"57284","genus","Acanthocephalus"
"185726",80,"185725","species","Acanthocephalus anguillae"
"332689",81,"185725","species","Acanthocephalus clavula"
"317564",82,"185725","species","Acanthocephalus lucii"
"2282138",83,"185725","species","Acanthocephalus ranae"
"6231",,"1206794","phylum","Nematoda"
"119089",,"6231","class","Chromadorea"
"6236",,"119089","order","Rhabditida"
"6274",,"6236","suborder","Spirurina"
"2072716",,"6274","infraorder","Spiruromorpha"
"6295",,"2072716","superfamily","Filarioidea"
"6296",,"6295","family","Onchocercidae"
"6276",,"6296","genus","Acanthocheilonema"
"328821",84,"6276","species","Acanthocheilonema dracunculoides"
"1285395",85,"6276","species","Acanthocheilonema spirocauda"
"6249",,"6274","infraorder","Ascaridomorpha"
"33256",,"6249","superfamily","Ascaridoidea"
"2052886",,"33256","family","Acanthocheilidae"
"2052887",,"2052886","subfamily","Acanthocheilinae"
"2161850",,"2052887","genus","Acanthocheilus"
"2161851",87,"2161850","species","Acanthocheilus rotundatus"
"6650",,"6447","class","Polyplacophora"
"6651",,"6650","subclass","Neoloricata"
"6652",,"6651","order","Chitonida"
"291892",,"6652","suborder","Acanthochitonina"
"6653",,"291892","family","Acanthochitonidae"
"55703",,"6653","genus","Acanthochitona"
"126420",88,"55703","species","Acanthochitona crinita"
"71528",,"41088","superfamily","Chrysomeloidea"
"34667",,"71528","family","Cerambycidae"
"79514",,"34667","subfamily","Lamiinae"
"185370",,"79514","tribe","Acanthocinini"
"1323393",,"185370","genus","Acanthocinus"
"1323394",92,"1323393","species","Acanthocinus aedilis"
"1501857",93,"1323393","species","Acanthocinus griseus"
"72037",,"2172821","class","Hexanauplia"
"6830",,"72037","subclass","Copepoda"
"116569",,"6830","infraclass","Neocopepoda"
"116571",,"116569","superorder","Podoplea"
"84308",,"116571","order","Cyclopoida"
"84315",,"84308","family","Cyclopidae"
"245076",,"84315","genus","Acanthocyclops"
"415614",97,"245076","species","Acanthocyclops robustus"
"245077",100,"245076","species","Acanthocyclops vernalis"
"298422",101,"245076","species","Acanthocyclops viridis"
"680346",,"216307","superorder","Nudipleura"
"70849",,"680346","order","Nudibranchia"
"216331",,"70849","infraorder","Doridina"
"216335",,"216331","superfamily","Anadoridoidea"
"71283",,"216335","family","Onchidorididae"
"71284",,"71283","genus","Acanthodoris"
"71285",104,"71284","species","Acanthodoris pilosa"
"6658",,"6657","class","Branchiopoda"
"116557",,"6658","subclass","Phyllopoda"
"84337",,"116557","order","Diplostraca"
"6665",,"84337","suborder","Cladocera"
"116561",,"6665","infraorder","Anomopoda"
"77757",,"116561","family","Macrotrichidae"
"77749",,"77757","genus","Acantholeberis"
"77750",105,"77749","species","Acantholeberis curvirostris"
"222822",,"7399","superfamily","Pamphilioidea"
"95274",,"222822","family","Pamphiliidae"
"410281",,"95274","subfamily","Cephalciinae"
"222797",,"410281","genus","Acantholyda"
"455475",106,"222797","species","Acantholyda erythrocephala"
"2560871",107,"222797","species","Acantholyda flaviceps"
"1384720",108,"222797","species","Acantholyda hieroglyphica"
"222798",110,"222797","species","Acantholyda posticalis"
"41011",,"37567","superfamily","Tineoidea"
"93884",,"41011","family","Psychidae"
"262181",,"93884","subfamily","Oiketicinae"
"1178204",,"262181","genus","Acanthopsyche"
"1869391",113,"1178204","species","Acanthopsyche atra"
"27439",,"71528","family","Chrysomelidae"
"64387",,"27439","subfamily","Bruchinae"
"256835",,"64387","tribe","Bruchini"
"200916",,"256835","genus","Acanthoscelides"
"200917",114,"200916","species","Acanthoscelides obtectus"
"33357",,"33351","infraorder","Pentatomomorpha"
"33358",,"33357","superfamily","Pentatomoidea"
"236378",,"33358","family","Acanthosomatidae"
"483938",,"236378","genus","Acanthosoma"
"483950",115,"483938","species","Acanthosoma haemorrhoidale"
"83145",,"6947","infraorder","Eleutherengona"
"83147",,"83145","clade","Heterostigmata"
"133228",,"83147","superfamily","Tarsonemoidea"
"133229",,"133228","family","Tarsonemidae"
"478374",,"133229","genus","Acarapis"
"478375",117,"478374","species","Acarapis woodi"
"116570",,"116569","superorder","Gymnoplea"
"6833",,"116570","order","Calanoida"
"121147",,"6833","family","Acartiidae"
"121148",,"121147","genus","Acartia"
"544687",119,"121148","species","Acartia bifilosa"
"1201398",121,"121148","species","Acartia discaudata"
"198241",122,"121148","species","Acartia hudsonica"
"121149",123,"121148","species","Acartia longiremis"
"136180",124,"121148","species","Acartia tonsa"
"43749",,"43741","superfamily","Opomyzoidea"
"286473",,"43749","family","Acartophthalmidae"
"716606",,"286473","genus","Acartophthalmus"
"716607",125,"716606","species","Acartophthalmus bicolor"
"1262227",126,"716606","species","Acartophthalmus nigrinus"
"83137",,"6946","order","Sarcoptiformes"
"6951",,"83137","suborder","Astigmata"
"83155",,"6951","superfamily","Acaroidea"
"41442",,"83155","family","Acaridae"
"474067",,"41442","subfamily","Acarinae"
"66545",,"474067","genus","Acarus"
"66546",128,"66545","species","Acarus siro"
"104450",,"82593","subfamily","Larentiinae"
"691615",,"104450","genus","Acasis"
"934820",129,"691615","species","Acasis viretata"
"2558200",,"8825","order","Accipitriformes"
"56259",,"2558200","family","Accipitridae"
"8955",,"56259","subfamily","Accipitrinae"
"8956",,"8955","genus","Accipiter"
"8957",131,"8956","species","Accipiter gentilis"
"211598",132,"8956","species","Accipiter nisus"
"43742",,"43738","no rank","Calyptratae"
"43755",,"43742","superfamily","Oestroidea"
"27474",,"43755","family","Tachinidae"
"43917",,"27474","subfamily","Exoristinae"
"179439",,"43917","tribe","Acemyini"
"1677647",,"179439","genus","Acemya"
"1918018",133,"1677647","species","Acemya acuticornis"
"37573",,"104431","superfamily","Pyraloidea"
"268499",,"37573","family","Crambidae"
"299362",,"268499","subfamily","Nymphulinae"
"1666817",,"299362","genus","Acentria"
"1666818",134,"1666817","species","Acentria ephemerella"
"29999",,"6960","class","Protura"
"79724",,"29999","suborder","Acerentomata"
"79728",,"79724","family","Acerentomidae"
"187595",,"79728","genus","Acerella"
"187596",138,"187595","species","Acerella muscorum"
"61991",,"79728","genus","Acerentulus"
"61992",147,"61991","species","Acerentulus traegardhi"
"109362",,"426509","genus","Aceria"
"1670713",150,"109362","species","Aceria angustifoliae"
"2248744",161,"109362","species","Aceria drabae"
"2798759",164,"109362","species","Aceria erinea"
"2813510",168,"109362","species","Aceria ficus"
"2652185",171,"109362","species","Aceria genistae"
"2759134",206,"109362","species","Aceria squalida"
"1670717",213,"109362","species","Aceria tuberculata"
"109366",214,"109362","species","Aceria tulipae"
"43754",,"43742","superfamily","Muscoidea"
"43756",,"43754","family","Scathophagidae"
"95472",,"43756","subfamily","Scathophaginae"
"113153",,"95472","genus","Acerocnema"
"113154",223,"113153","species","Acerocnema macrocera"
"33355",,"33354","superfamily","Cimicoidea"
"30083",,"33355","family","Miridae"
"173680",,"30083","subfamily","Mirinae"
"236662",,"173680","tribe","Stenodemini"
"567497",,"236662","genus","Acetropis"
"1545070",224,"567497","species","Acetropis carinata"
"65170",,"7408","subfamily","Ichneumoninae"
"172511",,"65170","tribe","Ichneumonini"
"493637",,"172511","genus","Achaius"
"493638",228,"493637","species","Achaius oratorius"
"7422",,"1955251","superfamily","Chalcidoidea"
"29051",,"7422","family","Encyrtidae"
"272199",,"29051","subfamily","Encyrtinae"
"752727",,"272199","genus","Achalcerinys"
"752728",229,"752727","species","Achalcerinys lindus"
"50672",,"480118","superfamily","Empidoidea"
"92558",,"50672","family","Dolichopodidae"
"1000644",,"92558","subfamily","Achalcinae"
"1000614",,"1000644","genus","Achalcus"
"1000615",230,"1000614","species","Achalcus cinereus"
"1000616",231,"1000614","species","Achalcus flavicollis"
"1000618",232,"1000614","species","Achalcus vaillanti"
"7366",,"43754","family","Muscidae"
"1511693",,"7366","subfamily","Achanthipterinae"
"1511673",,"1511693","genus","Achanthiptera"
"1511674",233,"1511673","species","Achanthiptera rohrelliformis"
"57294",,"6843","class","Pycnogonida"
"373319",,"57294","order","Pantopoda"
"61893",,"373319","family","Ammotheidae"
"61894",,"61893","genus","Achelia"
"61895",234,"61894","species","Achelia echinata"
"29026",,"75543","family","Staphylinidae"
"82885",,"29026","subfamily","Paederinae"
"1587415",,"82885","genus","Achenium"
"1587416",236,"1587415","species","Achenium depressum"
"37569",,"104431","superfamily","Bombycoidea"
"7128",,"37569","family","Sphingidae"
"82616",,"7128","subfamily","Sphinginae"
"469307",,"82616","tribe","Acherontiini"
"469308",,"469307","genus","Acherontia"
"657993",238,"469308","species","Acherontia atropos"
"33341",,"33340","cohort","Polyneoptera"
"6993",,"33341","order","Orthoptera"
"6994",,"6993","suborder","Ensifera"
"2174975",,"6994","infraorder","Gryllidea"
"70906",,"2174975","superfamily","Grylloidea"
"6995",,"70906","family","Gryllidae"
"114953",,"6995","subfamily","Gryllinae"
"6996",,"114953","genus","Acheta"
"6997",239,"6996","species","Acheta domesticus"
"66551",,"83137","suborder","Oribatida"
"229894",,"66551","infraorder","Brachypylina"
"229764",,"229894","superfamily","Achipterioidea"
"229765",,"229764","family","Achipteriidae"
"229768",,"229765","genus","Achipteria"
"229769",240,"229768","species","Achipteria coleoptrata"
"104423",,"104431","superfamily","Drepanoidea"
"104425",,"104423","family","Drepanidae"
"219490",,"104425","subfamily","Thyatirinae"
"753482",,"219490","genus","Achlya"
"753485",242,"753482","species","Achlya flavicornis"
"7135",,"37573","family","Pyralidae"
"40082",,"7135","subfamily","Galleriinae"
"688606",,"40082","genus","Achroia"
"688607",243,"688606","species","Achroia grisella"
"70242",,"119089","order","Chromadorida"
"2301099",,"70242","superfamily","Chromadoroidea"
"73920",,"2301099","family","Cyatholaimidae"
"288551",,"73920","genus","Achromadora"
"288558",245,"288551","species","Achromadora ruricola"
"107755",,"7422","family","Eulophidae"
"150273",,"107755","subfamily","Entedoninae"
"108622",,"150273","genus","Achrysocharoides"
"198949",248,"108622","species","Achrysocharoides acerianus"
"198947",249,"108622","species","Achrysocharoides atys"
"198950",250,"108622","species","Achrysocharoides buekkensis"
"198951",251,"108622","species","Achrysocharoides butus"
"198953",253,"108622","species","Achrysocharoides cilla"
"108684",255,"108622","species","Achrysocharoides latreillii"
"297237",256,"108622","species","Achrysocharoides niveipes"
"198955",257,"108622","species","Achrysocharoides splendens"
"297238",258,"108622","species","Achrysocharoides suprafolius"
"150262",259,"108622","species","Achrysocharoides zwoelferi"
"43867",,"7211","subfamily","Trypetinae"
"43899",,"43867","tribe","Trypetini"
"43902",,"43899","subtribe","Trypetina"
"103408",,"43902","genus","Acidia"
"103409",264,"103408","species","Acidia cognata"
"144867",,"29026","no rank","Omaliinae group"
"66542",,"144867","subfamily","Omaliinae"
"1553347",,"66542","genus","Acidota"
"1553348",266,"1553347","species","Acidota crenata"
"535378",,"41071","superfamily","Dytiscoidea"
"50515",,"535378","family","Dytiscidae"
"107842",,"50515","subfamily","Dytiscinae"
"183333",,"107842","tribe","Aciliini"
"107767",,"183333","genus","Acilius"
"358173",268,"107767","species","Acilius canaliculatus"
"107768",269,"107767","species","Acilius sulcatus"
"32440",,"186623","subclass","Chondrostei"
"7899",,"32440","order","Acipenseriformes"
"186622",,"7899","suborder","Acipenseroidei"
"7900",,"186622","family","Acipenseridae"
"124129",,"7900","subfamily","Acipenserinae"
"124130",,"124129","tribe","Acipenserini"
"7901",,"124130","genus","Acipenser"
"27689",271,"7901","species","Acipenser baerii"
"7902",272,"7901","species","Acipenser gueldenstaedtii"
"7906",273,"7901","species","Acipenser ruthenus"
"7903",274,"7901","species","Acipenser stellatus"
"61674",275,"7901","species","Acipenser sturio"
"33375",,"33373","superfamily","Psylloidea"
"30092",,"33375","family","Psyllidae"
"2218240",,"30092","subfamily","Acizziinae"
"121829",,"2218240","genus","Acizzia"
"121830",276,"121829","species","Acizzia uncatoides"
"65171",,"7408","subfamily","Cryptinae"
"172379",,"65171","tribe","Phygadeuontini"
"274016",,"172379","subtribe","Hemitelina"
"273999",,"274016","genus","Aclastus"
"1667460",278,"273999","species","Aclastus gracilis"
"1667461",281,"273999","species","Aclastus solutus"
"104430",,"37567","clade","Apoditrysia"
"37568",,"104430","superfamily","Tortricoidea"
"7139",,"37568","family","Tortricidae"
"65022",,"7139","subfamily","Tortricinae"
"173709",,"65022","tribe","Tortricini"
"572799",,"173709","genus","Acleris"
"758703",282,"572799","species","Acleris abietana"
"758704",283,"572799","species","Acleris aspersana"
"763074",284,"572799","species","Acleris bergmanniana"
"572800",285,"572799","species","Acleris comariana"
"758705",286,"572799","species","Acleris cristana"
"758706",287,"572799","species","Acleris emargana"
"758707",288,"572799","species","Acleris ferrugana"
"572801",289,"572799","species","Acleris forsskaleana"
"1594215",290,"572799","species","Acleris hastiana"
"572802",291,"572799","species","Acleris holmiana"
"1869394",292,"572799","species","Acleris hyemana"
"758708",293,"572799","species","Acleris kochiella"
"758709",294,"572799","species","Acleris laterana"
"758710",295,"572799","species","Acleris lipsiana"
"1100899",296,"572799","species","Acleris literana"
"758711",297,"572799","species","Acleris logiana"
"758712",298,"572799","species","Acleris lorquiniana"
"758713",299,"572799","species","Acleris notana"
"1869395",300,"572799","species","Acleris permutana"
"2560876",301,"572799","species","Acleris quercinana"
"758714",302,"572799","species","Acleris rhombana"
"2560877",303,"572799","species","Acleris rufana"
"758715",304,"572799","species","Acleris scabrana"
"1113121",305,"572799","species","Acleris schalleriana"
"758716",306,"572799","species","Acleris shepherdana"
"758717",307,"572799","species","Acleris sparsana"
"758718",308,"572799","species","Acleris umbrana"
"572803",309,"572799","species","Acleris variegana"
"43746",,"43741","superfamily","Ephydroidea"
"7214",,"43746","family","Drosophilidae"
"43846",,"7214","subfamily","Steganinae"
"46881",,"43846","tribe","Gitonini"
"106237",,"46881","subtribe","Acletoxenina"
"462271",,"106237","genus","Acletoxenus"
"462272",310,"462271","species","Acletoxenus formosus"
"68882",,"7402","subfamily","Aphidiinae"
"104011",,"68882","genus","Aclitus"
"104012",313,"104011","species","Aclitus obscuripennis"
"414958",,"82881","genus","Aclypea"
"1553017",314,"414958","species","Aclypea opaca"
"41155",,"34667","subfamily","Lepturinae"
"294823",,"41155","tribe","Rhagiini"
"131573",,"294823","genus","Acmaeops"
"1586435",316,"131573","species","Acmaeops marginatus"
"43784",,"7148","infraorder","Bibionomorpha"
"41830",,"43784","superfamily","Sciaroidea"
"29035",,"41830","family","Mycetophilidae"
"43800",,"29035","subfamily","Sciophilinae"
"1888027",,"43800","genus","Acnemia"
"2339098",318,"1888027","species","Acnemia nitidicollis"
"33406",,"41830","family","Cecidomyiidae"
"1588181",,"33406","subfamily","Micromyinae"
"2338587",,"1588181","genus","Acoenonia"
"2338588",319,"2338587","species","Acoenonia europaea"
"82738",,"33355","family","Anthocoridae"
"528041",,"82738","subfamily","Anthocorinae"
"528058",,"528041","genus","Acompocoris"
"1511220",321,"528058","species","Acompocoris alpinus"
"37581",,"37567","superfamily","Gelechioidea"
"32434",,"37581","family","Gelechiidae"
"689154",,"32434","subfamily","Dichomeridinae"
"1280446",,"689154","genus","Acompsia"
"1280447",323,"1280446","species","Acompsia cinerella"
"1869396",324,"1280446","species","Acompsia schmidtiellus"
"33359",,"33357","superfamily","Lygaeoidea"
"238617",,"33359","family","Rhyparochromidae"
"2869579",,"238617","subfamily","Rhyparochrominae"
"1545271",,"2869579","genus","Acompus"
"1545272",325,"1545271","species","Acompus rufipes"
"95214",,"7100","subfamily","Acontiinae"
"319971",,"95214","genus","Acontia"
"753144",326,"319971","species","Acontia lucida"
"938229",,"95214","genus","Emmelia"
"938230",327,"938229","species","Emmelia trabealis"
"59807",,"43808","genus","Acricotopus"
"59808",328,"59807","species","Acricotopus lucens"
"9170",,"9126","family","Sturnidae"
"245037",,"9170","genus","Acridotheres"
"451383",329,"245037","species","Acridotheres ginginianus"
"279927",330,"245037","species","Acridotheres tristis"
