"tax_id","species_id","kingdom","phylum","class","order","family","genus","species","identification_reference"
"AHCYSI11280",14,"Animalia","Cnidaria","Hydrozoa","Conica","Sertulariidae","Abietinaria","Abietinaria abietina","Linnaeus, 1758"
"7E65E7F4BAB",15,"Animalia","Cnidaria","Hydrozoa","Conica","Sertulariidae","Abietinaria","Abietinaria filicula","Ellis & Solander, 1786"
"AHCYFBECWIG",16,"Animalia","Arthropoda","Insecta","Diptera","Chironomidae","Ablabesmyia","Ablabesmyia longistyla","Fittkau, 1962"
"AHCYFBECXIY",17,"Animalia","Arthropoda","Insecta","Diptera","Chironomidae","Ablabesmyia","Ablabesmyia monilis","Linnaeus, 1758"
"AHCYFBECYJR",18,"Animalia","Arthropoda","Insecta","Diptera","Chironomidae","Ablabesmyia","Ablabesmyia phatta","Egger, 1863"
"AHCYFBWPWEB",19,"Animalia","Arthropoda","Insecta","Coleoptera","Silphidae","Ablattaria","Ablattaria laevigata","Fabricius, 1775"
"AHCYFBAQEBG",20,"Animalia","Arthropoda","Insecta","Hymenoptera","Pteromalidae","Ablaxia","Ablaxia megachlora","Walker, 1835"
"AHCYFBAQFBZ",21,"Animalia","Arthropoda","Insecta","Hymenoptera","Pteromalidae","Ablaxia","Ablaxia parviclava","Thomson, 1878"
"AHCYFBAQFYF",22,"Animalia","Arthropoda","Insecta","Hymenoptera","Pteromalidae","Ablaxia","Ablaxia squamifera","Thomson, 1878"
"AHCYSI02427",23,"Animalia","Nematoda","Secernentea","Rhabditida","Rhabditidae","Ablechroiulus","Ablechroiulus ciliatus","Fuchs, 1931"
"AHCYSI02426",24,"Animalia","Nematoda","Secernentea","Rhabditida","Rhabditidae","Ablechroiulus","Ablechroiulus lacustris","Micoletzky, 1913"
"AHCYSI04133",25,"Animalia","Arthropoda","Malacostraca","Amphipoda","Melitidae","Abludomelita","Abludomelita obtusata","Montagu, 1813"
"AHCYSI11430",26,"Animalia","Mollusca","Bivalvia","Cardiida","Semelidae","Abra","Abra alba","Wood, 1802"
"AHCYSI11432",27,"Animalia","Mollusca","Bivalvia","Cardiida","Semelidae","Abra","Abra nitida","Müller, 1776"
"AHCYSI11431",28,"Animalia","Mollusca","Bivalvia","Cardiida","Semelidae","Abra","Abra prismatica","Montagu, 1808"
"AHCYSI11774",29,"Animalia","Mollusca","Bivalvia","Cardiida","Semelidae","Abra","Abra tenuis","Montagu, 1803"
"D71EF894631",30,"Animalia","Arthropoda","Insecta","Diptera","Conopidae","Abrachyglossum","Abrachyglossum capitatum","Loew, 1874"
"AHCYFBUOVUG",31,"Animalia","Arthropoda","Insecta","Coleoptera","Histeridae","Abraeus","Abraeus granulum","Erichson, 1839"
"AHCYFBUOWUZ",32,"Animalia","Arthropoda","Insecta","Coleoptera","Histeridae","Abraeus","Abraeus parvulus","Aubé, 1842"
"AHCYFBUOXVR",33,"Animalia","Arthropoda","Insecta","Coleoptera","Histeridae","Abraeus","Abraeus perpusillus","Marsham, 1802"
"455863548",34,"Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","Abramis","Abramis brama","Linnaeus, 1758"
"YFDNC8KUBJ8",35,"Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","Abramis","Abramis leuckartii","Heckel, 1837"
"AHCYFCJJFWR",36,"Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Abraxas","Abraxas grossulariata","Linnaeus, 1758"
"AHCYFCJJILL",37,"Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Abraxas","Abraxas sylvata","Scopoli, 1763"
"AHCYFCLMHFU",38,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Abrostola","Abrostola tripartita","Hufnagel, 1766"
"AHCYFCLMIGM",39,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Abrostola","Abrostola triplasia","Linnaeus, 1758"
"C87H5GG8O46",40,"Animalia","Arthropoda","Insecta","Hymenoptera","Ichneumonidae","Absyrtus","Absyrtus vernalis","Bauer, 1961"
"AHCYFATHKKB",41,"Animalia","Arthropoda","Insecta","Hymenoptera","Ichneumonidae","Absyrtus","Absyrtus vicinator","Thunberg, 1824"
"OW85VV3ZQ3J",42,"Animalia","Annelida","Polychaeta","Eunicida","Lumbrineridae","Abyssoninoe","Abyssoninoe hibernica","McIntosh, 1903"
"U348D3O9OXW",43,"Animalia","Annelida","Polychaeta","Eunicida","Lumbrineridae","Abyssoninoe","Abyssoninoe scopa","Fauchald, 1974"
"AHCYFATHLYC",44,"Animalia","Arthropoda","Insecta","Hymenoptera","Ichneumonidae","Acaenitus","Acaenitus dubitator","Panzer, 1800"
"AHCYSI10197",45,"Animalia","Arthropoda","Arachnida","Trombidiformes","Eriophyidae","Acalitus","Acalitus brevitarsus","Fockeu, 1890"
"AHCYSI10198",46,"Animalia","Arthropoda","Arachnida","Trombidiformes","Eriophyidae","Acalitus","Acalitus calycophthirus","Nalepa, 1891"
"FZTI7BQ53S",47,"Animalia","Arthropoda","Arachnida","Trombidiformes","Eriophyidae","Acalitus","Acalitus essigi","Hassan, 1928"
"AHCYSI10199",48,"Animalia","Arthropoda","Arachnida","Trombidiformes","Eriophyidae","Acalitus","Acalitus longisetosus","Nalepa, 1892"
"NMBPP6NBB0W",49,"Animalia","Arthropoda","Arachnida","Trombidiformes","Eriophyidae","Acalitus","Acalitus phloeocoptes","Nalepa, 1890"
"T2AIHZOG5T8",50,"Animalia","Arthropoda","Arachnida","Trombidiformes","Eriophyidae","Acalitus","Acalitus plicans","Nalepa, 1917"
"AHCYSI10200",51,"Animalia","Arthropoda","Arachnida","Trombidiformes","Eriophyidae","Acalitus","Acalitus rudis","Canestrini, 1890"
"AHCYSI10201",52,"Animalia","Arthropoda","Arachnida","Trombidiformes","Eriophyidae","Acalitus","Acalitus stenaspis","Nalepa, 1891"
"AHCYFBSYCXE",53,"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Acalles","Acalles dubius","Solari & Solari, 1907"
"AHCYFBSYCAL",54,"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Acalles","Acalles fallax","Boheman, 1844"
"AHCYFBSYEUD",55,"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Acalles","Acalles lemur","Germar, 1824"
"AHCYFBSYFQK",56,"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Acalles","Acalles misellus","Boheman, 1844"
"AHCYFBSYGRC",57,"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Acalles","Acalles parvulus","Boheman, 1837"
"AHCYFBSYHNJ",58,"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Acalles","Acalles ptinoides","Marsham, 1802"
"QQ9FQYNZNIL",59,"Animalia","Arthropoda","Arachnida","Sarcoptiformes","Winterschmidtiidae","Acalvolia","Acalvolia squamata","Oudemans, 1909"
"AHCYSIDCOJR",60,"Animalia","Arthropoda","Insecta","Hemiptera","Tingidae","Acalypta","Acalypta carinata","Panzer, 1806"
"AHCYSIDCPKJ",61,"Animalia","Arthropoda","Insecta","Hemiptera","Tingidae","Acalypta","Acalypta gracilis","Fieber, 1844"
"AHCYSIDCQLC",62,"Animalia","Arthropoda","Insecta","Hemiptera","Tingidae","Acalypta","Acalypta marginata","Wolff, 1804"
"AHCYSIDCRMG",63,"Animalia","Arthropoda","Insecta","Hemiptera","Tingidae","Acalypta","Acalypta musci","Schrank, 1781"
"AHCYSIDCSMY",64,"Animalia","Arthropoda","Insecta","Hemiptera","Tingidae","Acalypta","Acalypta nigrina","Fallén, 1807"
"AHCYSIDCTNQ",65,"Animalia","Arthropoda","Insecta","Hemiptera","Tingidae","Acalypta","Acalypta parvula","Fallén, 1807"
"AHCYSIDCUOJ",66,"Animalia","Arthropoda","Insecta","Hemiptera","Tingidae","Acalypta","Acalypta platycheila","Fieber, 1844"
"AHCYFBSYKCD",67,"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Acalyptus","Acalyptus carpini","Fabricius, 1793"
"AHCYFARERCE",68,"Animalia","Arthropoda","Insecta","Hymenoptera","Braconidae","Acampsis","Acampsis alternipes","Nees, 1816"
"AHCYFBEDACQ",69,"Animalia","Arthropoda","Insecta","Diptera","Chironomidae","Acamptocladius","Acamptocladius submontanus","Edwards, 1932"
"AHCYSI07859",70,"Animalia","Arthropoda","Insecta","Hymenoptera","Diapriidae","Acanosema","Acanosema nervosa","Thomson, 1859"
"AHCYFEPRODK",71,"Animalia","Mollusca","Gastropoda","Stylommatophora","Valloniidae","Acanthinula","Acanthinula aculeata","Müller, 1774"
"AHCYFBNTZOI",72,"Animalia","Arthropoda","Insecta","Diptera","Tephritidae","Acanthiophilus","Acanthiophilus helianthi","Rossi, 1790"
"AHCYFCONJBC",73,"Animalia","Chordata","Aves","Passeriformes","Fringillidae","Acanthis","Acanthis cabaret","Müller, 1776"
"464942373",74,"Animalia","Chordata","Aves","Passeriformes","Fringillidae","Acanthis","Acanthis flammea","Linnaeus, 1758"
"464942387",75,"Animalia","Chordata","Aves","Passeriformes","Fringillidae","Acanthis","Acanthis hornemanni","Holboell, 1843"
"AHCYSI11179",76,"Animalia","Mollusca","Bivalvia","Cardiida","Cardiidae","Acanthocardia","Acanthocardia aculeata","Linnaeus, 1758"
"AHCYSI11334",77,"Animalia","Mollusca","Bivalvia","Cardiida","Cardiidae","Acanthocardia","Acanthocardia echinata","Linnaeus, 1758"
"AHCYSI11333",78,"Animalia","Mollusca","Bivalvia","Cardiida","Cardiidae","Acanthocardia","Acanthocardia paucicostata","Sowerby, 1834"
"JPLADPSB6ND",79,"Animalia","Mollusca","Bivalvia","Cardiida","Cardiidae","Acanthocardia","Acanthocardia tuberculata","Linnaeus, 1758"
"2A55E8845C4",80,"Animalia","Acanthocephala","Palaeacanthocephala","Echinorhynchida","Echinorhynchidae","Acanthocephalus","Acanthocephalus anguillae","Müller, 1780"
"AAAE6ED4E25",81,"Animalia","Acanthocephala","Palaeacanthocephala","Echinorhynchida","Echinorhynchidae","Acanthocephalus","Acanthocephalus clavula","Dujardin, 1845"
"97BDABF44C6",82,"Animalia","Acanthocephala","Palaeacanthocephala","Echinorhynchida","Echinorhynchidae","Acanthocephalus","Acanthocephalus lucii","Müller, 1776"
"7771CB04493",83,"Animalia","Acanthocephala","Palaeacanthocephala","Echinorhynchida","Echinorhynchidae","Acanthocephalus","Acanthocephalus ranae","Schrank, 1788"
"IHKRNJ3RQ89",84,"Animalia","Nematoda","Secernentea","Spirurida","Onchocercidae","Acanthocheilonema","Acanthocheilonema dracunculoides","Cobbold, 1870"
"FU5YCTRD379",85,"Animalia","Nematoda","Secernentea","Spirurida","Onchocercidae","Acanthocheilonema","Acanthocheilonema spirocauda","Leidy, 1858"
"K6UJ0BH7F7F",86,"Animalia","Nematoda","Secernentea","Ascaridida","Anisakidae","Acanthocheilus","Acanthocheilus bicuspis","Wedl, 1855"
"KW3SJ2BR6N6",87,"Animalia","Nematoda","Secernentea","Ascaridida","Anisakidae","Acanthocheilus","Acanthocheilus rotundatus","Rudolphi, 1819"
"AHCYSI11125",88,"Animalia","Mollusca","Polyplacophora","Chitonida","Acanthochitonidae","Acanthochitona","Acanthochitona crinita","Pennant, 1777"
"YAVLOL1SR5N",89,"Animalia","Arthropoda","Maxillopoda","Poecilostomatoida","Chondracanthidae","Acanthochondria","Acanthochondria cornuta","Müller, 1776"
"2RY1PVNSUWK",90,"Animalia","Arthropoda","Maxillopoda","Poecilostomatoida","Chondracanthidae","Acanthochondria","Acanthochondria limandae","Krøyer, 1863"
"HB4XHJFC1ZE",91,"Animalia","Arthropoda","Maxillopoda","Poecilostomatoida","Chondracanthidae","Acanthochondria","Acanthochondria soleae","Krøyer, 1838"
"AHCYFBROUJK",92,"Animalia","Arthropoda","Insecta","Coleoptera","Cerambycidae","Acanthocinus","Acanthocinus aedilis","Linnaeus, 1758"
"MRMJNOXZ35L",93,"Animalia","Arthropoda","Insecta","Coleoptera","Cerambycidae","Acanthocinus","Acanthocinus griseus","Fabricius, 1793"
"AHCYFAQDCXG",94,"Animalia","Arthropoda","Insecta","Hemiptera","Eriococcidae","Acanthococcus","Acanthococcus aceris","Signoret, 1875"
"T6ZJAKZ7MSS",95,"Animalia","Arthropoda","Insecta","Hemiptera","Eriococcidae","Acanthococcus","Acanthococcus ericae","Signoret 1875"
"3HCYJWNE5N9",96,"Animalia","Arthropoda","Insecta","Hemiptera","Eriococcidae","Acanthococcus","Acanthococcus roboris","Goux, 1931"
"AHCYSI04228",97,"Animalia","Arthropoda","Maxillopoda","Cyclopoida","Cyclopidae","Acanthocyclops","Acanthocyclops robustus","Sars, 1863"
"AHCYSI04232",98,"Animalia","Arthropoda","Maxillopoda","Cyclopoida","Cyclopidae","Acanthocyclops","Acanthocyclops sensitivus","Graeter & Chappuis, 1914"
"AHCYSI04231",99,"Animalia","Arthropoda","Maxillopoda","Cyclopoida","Cyclopidae","Acanthocyclops","Acanthocyclops venustus","Norman & Scott, 1906"
"AHCYSI04230",100,"Animalia","Arthropoda","Maxillopoda","Cyclopoida","Cyclopidae","Acanthocyclops","Acanthocyclops vernalis","Fischer, 1853"
"2RORVJTUE2Z",101,"Animalia","Arthropoda","Maxillopoda","Cyclopoida","Cyclopidae","Acanthocyclops","Acanthocyclops viridis","Jurine, 1820"
"AHCYFAPTGFM",102,"Animalia","Arthropoda","Insecta","Hemiptera","Delphacidae","Acanthodelphax","Acanthodelphax denticauda","Boheman, 1847"
"AHCYFAPTHGQ",103,"Animalia","Arthropoda","Insecta","Hemiptera","Delphacidae","Acanthodelphax","Acanthodelphax spinosa","Fieber, 1866"
"AHCYSI11101",104,"Animalia","Mollusca","Gastropoda","Nudibranchia","Onchidorididae","Acanthodoris","Acanthodoris pilosa","Abildgaard, 1789"
"AHCYSI03844",105,"Animalia","Arthropoda","Branchiopoda","Diplostraca","Macrothricidae","Acantholeberis","Acantholeberis curvirostris","Müller, 1776"
"AHCYFAWUBUU",106,"Animalia","Arthropoda","Insecta","Hymenoptera","Pamphiliidae","Acantholyda","Acantholyda erythrocephala","Linnaeus, 1758"
"AHCYFAWUCRB",107,"Animalia","Arthropoda","Insecta","Hymenoptera","Pamphiliidae","Acantholyda","Acantholyda flaviceps","Retzius, 1783"
"AHCYFAWUDNH",108,"Animalia","Arthropoda","Insecta","Hymenoptera","Pamphiliidae","Acantholyda","Acantholyda hieroglyphica","Christ, 1791"
"AHCYFAWUEJO",109,"Animalia","Arthropoda","Insecta","Hymenoptera","Pamphiliidae","Acantholyda","Acantholyda laricis","Giraud, 1861"
"AHCYFAWUFFV",110,"Animalia","Arthropoda","Insecta","Hymenoptera","Pamphiliidae","Acantholyda","Acantholyda posticalis","Matsumura, 1912"
"O6YL4AC6PEQ",111,"Animalia","Arthropoda","Arachnida","Trombidiformes","Myobiidae","Acanthophthirius","Acanthophthirius etheldredae","Perkins, 1925"
"HYJ4UXVV96G",112,"Animalia","Arthropoda","Arachnida","Trombidiformes","Myobiidae","Acanthophthirius","Acanthophthirius polonicus","Haitlinger, 1978"
"AHCYSI00172",113,"Animalia","Arthropoda","Insecta","Lepidoptera","Psychidae","Acanthopsyche","Acanthopsyche atra","Linnaeus, 1767"
"AHCYFBQOZYV",114,"Animalia","Arthropoda","Insecta","Coleoptera","Chrysomelidae","Acanthoscelides","Acanthoscelides obtectus","Say, 1831"
"AHCYSIBRAYF",115,"Animalia","Arthropoda","Insecta","Hemiptera","Acanthosomatidae","Acanthosoma","Acanthosoma haemorrhoidale","Linnaeus, 1758"
"AHCYFAQPBTN",116,"Animalia","Arthropoda","Insecta","Thysanoptera","Phlaeothripidae","Acanthothrips","Acanthothrips nodicornis","Reuter, 1880"
"AHCYSI10545",117,"Animalia","Arthropoda","Arachnida","Trombidiformes","Tarsonemidae","Acarapis","Acarapis woodi","Rennie, 1921"
"AHCYFOOGLOR",118,"Animalia","Arthropoda","Arachnida","Araneae","Linyphiidae","Acartauchenius","Acartauchenius scurrilis","Cambridge, 1872"
"AHCYSI04193",119,"Animalia","Arthropoda","Maxillopoda","Calanoida","Acartiidae","Acartia","Acartia bifilosa","Giesbrecht, 1881"
"9AZGQC9S8L4",120,"Animalia","Arthropoda","Maxillopoda","Calanoida","Acartiidae","Acartia","Acartia clausi","Giesbrecht, 1889"
"QLBQ60Y9MP9",121,"Animalia","Arthropoda","Maxillopoda","Calanoida","Acartiidae","Acartia","Acartia discaudata","Giesbrecht, 1881"
"ND6KTYARTPK",122,"Animalia","Arthropoda","Maxillopoda","Calanoida","Acartiidae","Acartia","Acartia hudsonica","Pinhey, 1926"
"TQGPIFU71TT",123,"Animalia","Arthropoda","Maxillopoda","Calanoida","Acartiidae","Acartia","Acartia longiremis","Lilljeborg, 1853"
"AHCYSI11748",124,"Animalia","Arthropoda","Maxillopoda","Calanoida","Acartiidae","Acartia","Acartia tonsa","Dana, 1848"
"AHCYFBBSYVH",125,"Animalia","Arthropoda","Insecta","Diptera","Acartophthalmidae","Acartophthalmus","Acartophthalmus bicolor","Oldenberg, 1910"
"AHCYFBBSZRO",126,"Animalia","Arthropoda","Insecta","Diptera","Acartophthalmidae","Acartophthalmus","Acartophthalmus nigrinus","Zetterstedt, 1848"
"IZPBOP8SG3P",127,"Animalia","Arthropoda","Arachnida","Sarcoptiformes","Acaridae","Acarus","Acarus nidicolus","Griffiths, 1970"
"980ADX8E8QG",128,"Animalia","Arthropoda","Arachnida","Sarcoptiformes","Acaridae","Acarus","Acarus siro","Linnaeus, 1758"
"AHCYFCJJUPZ",129,"Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Acasis","Acasis viretata","Hübner, 1799"
"AHCYSI00838",130,"Animalia","Arthropoda","Insecta","Hemiptera","Aphididae","Acaudinum","Acaudinum centaureae","Koch, 1854"
"464941632",131,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter gentilis","Linnaeus, 1758"
"464942064",132,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter nisus","Linnaeus, 1758"
"AHCYFBMVHPP",133,"Animalia","Arthropoda","Insecta","Diptera","Tachinidae","Acemya","Acemya acuticornis","Meigen, 1824"
"AHCYFCIEFRD",134,"Animalia","Arthropoda","Insecta","Lepidoptera","Crambidae","Acentria","Acentria ephemerella","Denis & Schiffermüller, 1775"
"AHCYFBQJKBF",135,"Animalia","Arthropoda","Insecta","Coleoptera","Brentidae","Acentrotypus","Acentrotypus brunnipes","Boheman, 1839"
"AHCYFAZRYCP",136,"Animalia","Arthropoda","Insecta","Hymenoptera","Eulophidae","Aceratoneuromyia","Aceratoneuromyia granularis","Domenichini, 1967"
"AHCYFCQCPNS",137,"Animalia","Arthropoda","Arachnida","Trombidiformes","Pionidae","Acercopsis","Acercopsis pistillifer","Koenike, 1908"
"885F2A642EE",138,"Animalia","Arthropoda","Entognatha","Protura","Acerentomidae","Acerella","Acerella muscorum","Ionesco, 1930"
"B6596744CF4",139,"Animalia","Arthropoda","Entognatha","Protura","Acerentomidae","Acerella","Acerella remyi","Conde, 1944"
"4C092D64887",140,"Animalia","Arthropoda","Entognatha","Protura","Acerentomidae","Acerentomon","Acerentomon affine","Bagnall, 1912"
"AHCYSI03202",141,"Animalia","Arthropoda","Entognatha","Protura","Acerentomidae","Acerentomon","Acerentomon doderoi","Silvestri, 1907"
"2137064FF6",142,"Animalia","Arthropoda","Entognatha","Protura","Acerentomidae","Acerentomon","Acerentomon gallicum","Ionesco, 1933"
"2646DCB4FC5",143,"Animalia","Arthropoda","Entognatha","Protura","Acerentomidae","Acerentomon","Acerentomon nemorale","Womersley, 1927"
"7EB8CCA439D",144,"Animalia","Arthropoda","Entognatha","Protura","Acerentomidae","Acerentulus","Acerentulus confinis","Berlese, 1908"
"BCFC42345AD",145,"Animalia","Arthropoda","Entognatha","Protura","Acerentomidae","Acerentulus","Acerentulus cunhai","Conde, 1950"
"EDE883B4943",146,"Animalia","Arthropoda","Entognatha","Protura","Acerentomidae","Acerentulus","Acerentulus silvanus","Szeptycki , 1991"
"91439214B8E",147,"Animalia","Arthropoda","Entognatha","Protura","Acerentomidae","Acerentulus","Acerentulus traegardhi","Ionesco, 1937"
"MTJUL6PM2IB",148,"Animalia","Arthropoda","Arachnida","Trombidiformes","Eriophyidae","Aceria","Aceria aceriscampestris","Nalepa, 1922"
"AHCYSI10144",149,"Animalia","Arthropoda","Arachnida","Trombidiformes","Eriophyidae","Aceria","Aceria anceps","Nalepa, 1892"
"LVVSFXWUBU3",150,"Animalia","Arthropoda","Arachnida","Trombidiformes","Eriophyidae","Aceria","Aceria angustifoliae","Denizham, Monfreda, de Lillo & Çobanoglu, 2008"
"AHCYSI10145",151,"Animalia","Arthropoda","Arachnida","Trombidiformes","Eriophyidae","Aceria","Aceria artemisiae","Canestrini, 1891"
"AHCYSI10146",152,"Animalia","Arthropoda","Arachnida","Trombidiformes","Eriophyidae","Aceria","Aceria brevirostris","Nalepa, 1892"
"XS7YZ9TL6HZ",153,"Animalia","Arthropoda","Arachnida","Trombidiformes","Eriophyidae","Aceria","Aceria calathina","Nalepa, 1917"
"AHCYSI10147",154,"Animalia","Arthropoda","Arachnida","Trombidiformes","Eriophyidae","Aceria","Aceria campestricola","Frauenfeld, 1865"
"AHCYSI10148",155,"Animalia","Arthropoda","Arachnida","Trombidiformes","Eriophyidae","Aceria","Aceria centaureae","Nalepa, 1891"
"RHGUQN7VODW",156,"Animalia","Arthropoda","Arachnida","Trombidiformes","Eriophyidae","Aceria","Aceria cephalonea","Nalepa, 1922"
"AHCYSI10149",157,"Animalia","Arthropoda","Arachnida","Trombidiformes","Eriophyidae","Aceria","Aceria convolvuli","Nalepa, 1898"
"AHCYSI10150",158,"Animalia","Arthropoda","Arachnida","Trombidiformes","Eriophyidae","Aceria","Aceria cornuta","Reuter, 1900"
"AHCYSI10151",159,"Animalia","Arthropoda","Arachnida","Trombidiformes","Eriophyidae","Aceria","Aceria destructor","Nalepa, 1891"
"AHCYSI10152",160,"Animalia","Arthropoda","Arachnida","Trombidiformes","Eriophyidae","Aceria","Aceria dispar","Nalepa, 1891"
"AHCYSI10153",161,"Animalia","Arthropoda","Arachnida","Trombidiformes","Eriophyidae","Aceria","Aceria drabae","Nalepa, 1890"
"AHCYSI10154",162,"Animalia","Arthropoda","Arachnida","Trombidiformes","Eriophyidae","Aceria","Aceria empetri","Lindroth, 1899"
"AHCYSI10155",163,"Animalia","Arthropoda","Arachnida","Trombidiformes","Eriophyidae","Aceria","Aceria enantha","Nalepa, 1892"
"AHCYSI10156",164,"Animalia","Arthropoda","Arachnida","Trombidiformes","Eriophyidae","Aceria","Aceria erinea","Nalepa, 1891"
"AHCYSI10157",165,"Animalia","Arthropoda","Arachnida","Trombidiformes","Eriophyidae","Aceria","Aceria euaspis","Nalepa, 1892"
"AHCYSI10158",166,"Animalia","Arthropoda","Arachnida","Trombidiformes","Eriophyidae","Aceria","Aceria euphrasiae","Nalepa, 1891"
"AHCYSI10159",167,"Animalia","Arthropoda","Arachnida","Trombidiformes","Eriophyidae","Aceria","Aceria exigua","Liro, 1940"
"1F77ECH36UF",168,"Animalia","Arthropoda","Arachnida","Trombidiformes","Eriophyidae","Aceria","Aceria ficus","Cotte, 1920"
"AHCYSI10160",169,"Animalia","Arthropoda","Arachnida","Trombidiformes","Eriophyidae","Aceria","Aceria fraxinivora","Nalepa, 1909"
"AHCYSI10161",170,"Animalia","Arthropoda","Arachnida","Trombidiformes","Eriophyidae","Aceria","Aceria galiobia","Canestrini, 1891"
"AHCYSI10162",171,"Animalia","Arthropoda","Arachnida","Trombidiformes","Eriophyidae","Aceria","Aceria genistae","Nalepa, 1892"
"AHCYSI10163",172,"Animalia","Arthropoda","Arachnida","Trombidiformes","Eriophyidae","Aceria","Aceria geranii","Canestrini, 1891"
"AHCYSI10164",173,"Animalia","Arthropoda","Arachnida","Trombidiformes","Eriophyidae","Aceria","Aceria granulata","Carmona, 1972"
"AHCYSI10165",174,"Animalia","Arthropoda","Arachnida","Trombidiformes","Eriophyidae","Aceria","Aceria hippophaena","Nalepa, 1898"
"8O5K3PJM5YR",175,"Animalia","Arthropoda","Arachnida","Trombidiformes","Eriophyidae","Aceria","Aceria horrida","Nalepa, 1917"
"AHCYSI10166",176,"Animalia","Arthropoda","Arachnida","Trombidiformes","Eriophyidae","Aceria","Aceria hypochoerina","Nalepa, 1893"
"AHCYSI10167",177,"Animalia","Arthropoda","Arachnida","Trombidiformes","Eriophyidae","Aceria","Aceria iteina","Nalepa, 1925"
"FPDZ8I9YR5Q",178,"Animalia","Arthropoda","Arachnida","Trombidiformes","Eriophyidae","Aceria","Aceria labiatiflorae","Thomas, 1872"
"AHCYSI10168",179,"Animalia","Arthropoda","Arachnida","Trombidiformes","Eriophyidae","Aceria","Aceria laticincta","Nalepa, 1892"
"AHCYSI10169",180,"Animalia","Arthropoda","Arachnida","Trombidiformes","Eriophyidae","Aceria","Aceria leioprocta","Nalepa, 1892"
"18TTF08WSZU",181,"Animalia","Arthropoda","Arachnida","Trombidiformes","Eriophyidae","Aceria","Aceria loewi","Nalepa, 1890"
"AHCYSI10170",182,"Animalia","Arthropoda","Arachnida","Trombidiformes","Eriophyidae","Aceria","Aceria lycopersici","Wolffenstein, 1879"
"AHCYSI10172",183,"Animalia","Arthropoda","Arachnida","Trombidiformes","Eriophyidae","Aceria","Aceria macrochela","Nalepa, 1891"
"48QPLL31C4I",184,"Animalia","Arthropoda","Arachnida","Trombidiformes","Eriophyidae","Aceria","Aceria macrocheluserinea","Trotter, 1902"
